Epoch,Train Loss,Precision,Recall,IoU,F1 Score,Accuracy,Specificity
28,0.11934024572993318,0.709262939534125,0.9144989073365494,0.6651548255961596,0.7989104861261421,0.9145342472307276,0.9145423036137958
29,0.10907348138901095,0.7411466825774645,0.9118123717073832,0.6915737243650009,0.8176690313921853,0.9245071191265535,0.927401121798039
30,0.09822518459210793,0.7092292572491117,0.9403106830887533,0.6786748652026717,0.8085840555201654,0.9173501754013194,0.9121159026433002
31,0.10687049638479948,0.75467625119308,0.8903551428610681,0.6905033778471423,0.8169204355290896,0.9259131703665345,0.9340192809645429
32,0.0954449732384334,0.7317812957143981,0.9053812194531519,0.6797931915626199,0.8093772435525177,0.920827772156993,0.9243490997828308
33,0.09692564466502518,0.6955778705098279,0.9032446869743053,0.6473441884026085,0.7859246330669042,0.9086499392814527,0.9098821666035429
34,0.09515915886343768,0.7664675436658509,0.8464070013837719,0.6728789571245755,0.8044562390588642,0.9236096648730188,0.9412094411431856
35,0.09560647290044774,0.75022021719082,0.8936845331629161,0.6887502811261402,0.8156922770924405,0.9250245547775576,0.9321690928516451
36,0.0882474571140483,0.7442435796890169,0.8919314869460708,0.6826831086126772,0.8114220736137648,0.9230350197563941,0.9301256458298032
37,0.09293213724469145,0.7399230752449074,0.8515619189377786,0.6553919287190529,0.7918268989340755,0.9168756578428945,0.9317651336737153
38,0.09683123070125778,0.6603620165512157,0.932784024990324,0.6303658230301858,0.7732814490168748,0.8984574199753467,0.8906320349293744
39,0.08958397366339341,0.7598816347974184,0.8856175834254347,0.6919697057186175,0.8179457390754197,0.9268119438237347,0.9362029608409608
40,0.08677555678412319,0.586829293651764,0.8743294912068187,0.5411821608821152,0.7022948676908676,0.8623869618352621,0.8596644411923238
41,0.09042369459600498,0.7193013359646621,0.884051187717828,0.6572918662579038,0.7932119618037365,0.9144280953091228,0.9213530737130193
42,0.09153327097805838,0.788499039528211,0.8468523097053053,0.6900950202942101,0.8166345820888568,0.9293983305565562,0.9482162240503071
43,0.08002330221701413,0.7525149107618951,0.865778387102734,0.6738965383859469,0.8051830240783591,0.922222038510897,0.9350894136992326
44,0.09516835803631693,0.7587088924170906,0.9059814382227082,0.7033318493894407,0.8258306796077934,0.9290556893912104,0.9343158920812877
45,0.09312651254547138,0.7679784374637851,0.875890675859599,0.692609564894581,0.8183925924319329,0.9278328755403458,0.9396740614793362
46,0.07999265821961066,0.703560819691797,0.8988074737895786,0.6519216982008921,0.7892888614646808,0.9109085918503467,0.9136672657206861
47,0.07865153162119289,0.7727215975866606,0.8517317519518953,0.6811034606596511,0.8103052270113009,0.9259666860618921,0.9428899134832944
48,0.07684369483652215,0.7628380444332722,0.8970665077452855,0.7014399481999444,0.8245250723565529,0.929115141503062,0.9364212208325652
49,0.07706015260424465,0.7009206822089741,0.9012410363935331,0.6509246906834304,0.7885577026702147,0.910274274754593,0.9123335686566989
50,0.09128677545270572,0.7746628182646734,0.8663118096240603,0.6919443151115535,0.8179280002674699,0.9283988578862347,0.9425527498545023
